number,first_name,last_name,address,vip
1,Erin,Djurisic,27 Toban Park,true
2,Morlee,Bowle,26449 Scofield Street,true
3,Janeva,Marton,91 Nova Park,false
4,Bernardine,Scopham,45 Oneill Pass,false
5,Jordan,Jeanequin,07 Petterle Avenue,true
6,Raven,Sturm,7 Northview Parkway,true
7,Ezmeralda,Gillicuddy,92083 Cardinal Place,true
8,Cornie,Mewett,58008 Loomis Parkway,false
9,Karrie,Gilham,8 Morningstar Court,true
10,Janet,Lyle,68 Marquette Way,false
11,Malchy,Stanbridge,71 Burning Wood Circle,false
12,Ora,Hadgkiss,4 Ruskin Park,true
13,Mildred,Hehnke,5054 Amoth Trail,true
14,Zachariah,Juanico,202 High Crossing Drive,true
15,Salli,Menary,466 South Avenue,false
16,Bonita,Janecki,5366 Garrison Pass,true
17,Dov,Hedde,3966 Stuart Alley,true
18,Thibaut,Cucuzza,2116 Anderson Court,false
19,Sayer,Dener,56 Anniversary Terrace,true
20,Isidro,Pudney,1765 Pond Road,false
21,Mary,Simonelli,25678 Quincy Junction,false
22,Kev,Dommersen,87 Welch Hill,false
23,Laure,Pulteneye,4 Mccormick Terrace,true
24,Dom,Claibourn,6 Judy Street,true
25,Cathy,Munton,0544 Tennyson Street,false
26,Oberon,Stonhouse,50 2nd Way,false
27,Hildy,Hallybone,88 Dryden Lane,true
28,Creigh,Haughian,53810 Holmberg Road,true
29,Amalie,Haverson,39 Moulton Parkway,true
30,Collin,Sheepy,53 Morrow Park,true
31,Nicolle,Goade,75102 Sunbrook Center,true
32,Jammie,Elcom,21416 Lakewood Place,true
33,Corabel,Boullen,6 Bonner Center,true
34,Marlane,Roj,4367 Summer Ridge Way,true
35,Filia,McQuilkin,11912 Dapin Hill,true
36,Barbi,Gother,26 Division Street,false
37,Sterling,Penniall,9 Moose Drive,true
38,Annamaria,Woodfin,36 Norway Maple Road,false
39,Jacques,De la Perrelle,56466 Mayfield Court,false
40,Bern,Ondrousek,649 Tennyson Drive,true
41,Westbrook,Vernazza,4477 Lien Junction,false
42,Natty,O'Doohaine,4887 Oxford Point,false
43,Clement,Durnian,5 Scoville Parkway,true
44,Sawyer,Skelington,304 Macpherson Crossing,false
45,Daffy,Brunetti,477 Little Fleur Crossing,true
